passenger_count,trip_distance,fare_amount,tip_amount,total_amount
1,0.8,5.5,1.55,7.85
1,0.56,5.5,0.0,6.8
3,3.56,12.0,2.66,15.96
1,1.9,11.0,1.8,13.6
1,4.28,20.5,0.0,21.3
1,2.56,10.5,0.0,11.8
2,1.96,12.0,0.0,12.8
1,1.0,6.5,1.45,8.75
1,0.93,6.0,1.0,7.8
5,1.6,14.5,3.82,19.12
1,2.5,12.0,1.5,14.3
2,1.22,7.0,1.76,10.56
1,2.22,11.0,0.0,12.8
1,0.3,3.5,0.0,4.3
1,0.34,3.5,1.06,6.36
1,1.97,11.0,0.0,11.8
1,2.5,9.0,1.5,11.8
1,4.5,17.0,2.0,19.8
1,1.66,12.0,3.2,16.0
1,0.29,3.5,0.0,4.3
5,1.73,13.0,3.45,17.25
1,0.48,4.0,0.0,4.8
2,0.79,5.5,1.58,7.88
1,13.3,41.0,4.0,51.34
1,0.7,4.0,0.0,5.3
1,1.46,9.5,0.0,10.3
5,1.26,8.5,1.86,11.16
2,1.45,7.5,0.0,9.3
1,0.71,5.5,0.0,6.3
4,1.22,7.0,1.4,9.2
1,0.77,5.0,1.16,6.96
5,3.54,16.0,0.0,16.8
1,1.6,8.5,1.95,11.75
1,5.53,25.0,2.5,28.3
1,1.17,8.0,1.76,10.56
1,1.9,9.5,2.25,13.55
1,1.78,9.0,1.96,11.76
1,0.8,8.5,0.0,9.3
6,1.58,10.0,2.95,14.75
1,1.6,8.5,0.0,9.8
1,1.37,10.5,1.0,12.3
5,1.13,7.5,1.66,9.96
1,0.51,4.0,1.2,6.0
2,1.21,9.5,3.09,13.39
1,0.9,5.5,1.25,7.55
1,1.3,7.0,0.0,7.8
1,2.56,11.5,0.0,13.3
1,1.47,9.0,0.0,9.8
4,3.0,10.5,0.0,11.8
2,3.95,16.5,0.0,22.84
1,0.56,4.5,2.0,8.3
2,0.89,6.5,1.66,9.96
1,1.39,7.5,1.66,9.96
1,2.62,15.0,3.16,18.96
1,0.8,5.0,2.0,8.8
1,8.56,28.0,8.64,37.44
1,5.4,21.5,0.0,22.8
1,5.25,16.5,0.0,17.8
1,1.21,14.0,2.96,17.76
1,0.42,4.0,0.0,5.8
1,10.19,28.5,0.0,35.34
1,2.71,15.0,0.0,15.8
1,1.62,9.5,0.0,10.3
1,1.98,9.5,0.0,10.3
1,1.5,10.5,0.0,11.3
6,1.84,9.5,0.0,10.3
4,1.73,10.5,2.82,14.12
2,1.0,7.5,0.0,8.3
1,1.31,7.5,0.0,9.3
2,3.78,21.0,2.0,23.8
1,0.78,6.0,1.0,8.3
1,0.39,4.0,0.0,4.8
1,0.57,5.0,0.0,5.8
2,17.42,52.0,0.0,62.84
1,2.11,11.5,2.46,14.76
1,1.47,7.0,0.0,7.8
2,1.5,11.0,0.0,11.8
1,0.56,5.5,0.0,6.3
1,17.5,52.0,0.0,62.84
1,1.5,6.5,1.55,9.35
5,1.57,7.5,1.0,9.3
1,1.03,6.0,2.19,9.49
2,0.57,5.0,0.0,5.8
2,1.14,7.5,0.0,9.3
1,0.4,6.0,1.0,8.8
1,1.8,10.0,1.5,13.3
2,17.7,52.0,2.91,61.25
5,1.69,11.5,0.0,12.3
1,1.13,6.5,1.0,8.3
1,1.31,9.0,0.0,9.8
1,3.0,15.0,2.0,17.8
2,0.66,5.5,1.26,7.56
6,0.47,3.5,0.8,6.1
1,0.69,6.0,2.04,8.84
1,1.3,8.0,1.75,10.55
1,0.9,6.0,1.55,9.35
4,1.6,9.0,0.0,9.8
1,2.9,13.5,4.4,19.2
2,7.05,25.0,7.74,33.54
1,1.5,6.5,1.0,9.3
1,1.81,10.5,2.26,13.56
5,2.46,10.5,2.26,13.56
1,1.58,8.0,2.2,11.0
1,20.34,55.5,10.0,67.3
1,1.23,8.5,1.2,10.5
2,4.4,14.5,0.0,15.3
1,0.59,4.5,1.06,6.36
1,2.64,11.0,2.95,14.75
2,3.3,13.5,2.95,17.75
1,4.16,15.0,0.0,16.3
1,18.13,52.0,0.0,58.34
1,2.1,14.0,4.44,19.24
1,1.3,8.0,1.75,10.55
1,1.46,8.5,2.32,11.62
1,0.6,4.0,2.0,7.3
1,0.6,4.5,0.0,6.3
1,1.5,7.5,1.85,11.15
1,0.3,3.0,0.95,5.75
4,2.3,10.5,0.0,11.3
1,0.56,4.5,1.0,6.3
1,5.1,19.5,0.0,21.3
2,0.3,4.5,0.0,5.3
1,3.53,14.0,3.0,18.3
2,1.6,9.0,1.5,12.3
5,2.8,11.5,3.08,15.38
1,2.1,9.5,2.06,12.36
1,1.9,8.5,0.0,9.3
1,0.8,5.5,0.0,7.3
1,20.99,52.0,17.5,75.84
3,1.7,7.5,2.08,10.38
1,11.0,40.0,9.27,55.61
1,19.3,52.0,7.0,65.34
6,0.69,5.0,0.0,5.8
1,0.8,5.0,0.0,5.8
1,2.49,12.0,2.0,14.8
1,3.33,21.0,0.0,22.8
1,7.34,27.5,5.66,33.96
1,1.07,6.5,0.0,8.3
1,1.14,7.5,0.0,8.3
2,1.01,8.0,1.76,10.56
1,0.6,4.5,0.0,5.3
1,0.75,5.5,0.0,6.3
1,0.8,6.0,0.0,7.8
1,0.9,6.0,1.7,8.5
1,0.8,6.0,1.7,8.5
2,10.5,39.5,9.35,56.19
3,1.49,9.0,1.2,11.0
1,1.1,6.0,1.35,8.15
1,15.4,46.5,8.0,55.3
1,1.2,6.5,1.66,9.96
2,3.21,15.0,3.36,20.16
