passenger_count,trip_distance,fare_amount,tip_amount,total_amount
2,0.43,4.0,0.96,5.76
1,2.2,11.5,2.45,14.75
1,1.7,10.0,0.0,10.8
1,1.6,9.0,0.0,9.8
1,3.27,16.0,0.0,17.8
1,0.81,4.5,0.0,6.3
1,0.92,9.0,1.96,11.76
1,0.7,4.0,0.0,4.8
1,1.5,14.0,0.0,14.8
1,8.1,29.0,7.45,37.25
1,2.0,9.0,0.0,10.3
1,2.65,12.5,0.0,14.3
1,0.8,5.0,1.0,7.3
1,1.34,9.5,1.13,12.43
2,1.17,8.0,1.96,11.76
1,0.85,7.0,0.0,7.8
1,1.82,16.5,1.0,18.3
1,2.4,12.5,1.75,15.05
1,0.8,5.0,1.35,8.15
1,1.12,6.0,1.56,9.36
1,1.77,9.0,1.0,10.8
1,13.13,45.5,12.96,64.8
1,3.3,13.5,0.2,14.5
1,0.93,5.5,0.0,6.3
1,1.49,13.0,3.45,17.25
2,1.2,5.5,1.0,7.8
1,2.1,10.5,1.5,13.8
1,1.0,8.0,1.75,10.55
1,1.1,6.5,0.0,7.3
1,1.58,11.5,3.69,15.99
1,1.0,6.5,2.0,9.8
1,0.8,6.5,1.2,8.5
1,4.6,21.0,4.45,26.75
4,1.4,10.0,2.16,12.96
1,2.2,11.5,2.65,15.95
1,1.73,10.0,2.36,14.16
1,0.7,5.5,1.0,8.3
1,2.76,14.0,3.16,18.96
6,2.3,15.5,0.0,16.3
1,2.24,11.0,4.4,17.2
1,2.46,12.0,2.0,15.8
1,0.8,5.0,1.02,7.82
1,1.0,7.5,1.5,9.8
1,1.13,8.5,0.0,9.3
4,1.98,10.5,0.0,11.3
1,0.8,5.0,1.0,7.8
1,3.3,12.0,2.66,15.96
1,4.84,16.0,3.56,21.36
1,3.89,14.5,3.06,18.36
1,1.48,7.0,0.0,8.8
1,0.8,7.5,2.45,10.75
1,2.43,11.0,2.36,14.16
2,2.2,14.0,1.5,17.3
1,0.98,7.5,1.4,10.7
1,3.0,12.0,0.0,12.8
1,2.42,12.5,2.66,15.96
1,1.95,17.5,3.66,21.96
1,1.37,9.5,2.06,12.36
4,0.85,7.0,1.56,9.36
1,0.82,7.5,1.66,9.96
1,0.92,7.0,1.0,9.8
3,1.69,8.0,0.0,9.3
1,8.5,25.0,6.45,38.79
1,0.36,3.5,0.0,4.3
3,0.89,5.0,1.0,6.8
6,14.13,38.0,0.0,44.34
1,0.83,5.5,1.26,7.56
1,0.9,7.5,0.0,8.3
1,0.9,5.5,1.45,8.75
2,1.78,10.5,2.26,13.56
3,0.7,7.5,0.0,8.3
1,1.75,10.5,0.0,11.3
1,3.2,16.0,0.0,16.8
1,1.46,8.5,0.0,9.3
1,5.89,22.5,2.0,25.3
3,17.9,52.0,0.0,58.34
1,1.97,13.0,2.76,16.56
6,4.02,16.5,3.46,20.76
2,1.3,7.0,1.55,9.35
1,17.6,52.0,10.55,63.35
1,0.96,5.5,0.0,6.3
2,20.17,52.0,0.0,52.8
1,1.41,6.5,1.56,9.36
1,6.3,20.5,3.0,24.3
1,1.04,6.0,0.0,6.8
1,0.8,5.0,1.2,7.0
1,2.26,10.5,3.0,15.3
1,2.0,11.5,0.0,12.3
1,0.45,4.0,0.0,5.3
5,2.05,11.0,2.95,14.75
1,0.5,5.5,0.0,7.3
1,2.5,9.5,1.5,11.8
3,0.95,7.5,2.08,10.38
1,1.3,7.0,1.95,9.75
1,1.6,10.5,2.25,13.55
1,2.5,10.5,0.0,12.3
1,1.7,9.5,2.06,12.36
6,1.94,17.0,5.34,23.14
1,0.66,7.0,0.0,7.8
1,0.7,5.5,1.0,7.3
1,1.71,9.5,3.09,13.39
1,11.98,42.0,9.67,58.01
6,3.01,11.0,2.36,14.16
1,1.7,7.0,0.0,7.8
1,0.83,5.0,1.16,6.96
1,0.9,6.5,1.8,9.1
1,0.51,4.0,1.0,5.8
1,1.38,10.0,2.16,12.96
1,4.4,17.5,0.0,18.3
5,15.3,46.0,7.0,54.8
1,3.3,12.5,2.98,22.82
1,1.81,11.5,2.46,14.76
1,0.54,4.0,0.0,4.8
1,4.85,16.5,0.0,17.3
1,0.43,3.5,0.96,5.76
5,3.18,12.0,0.0,13.3
2,0.5,4.0,1.16,6.96
1,1.41,6.5,0.0,8.3
1,10.48,30.0,0.0,31.3
1,1.36,9.5,2.06,12.36
1,5.8,21.0,0.0,22.8
1,5.99,30.5,0.0,31.3
1,0.74,5.5,1.26,7.56
1,1.1,8.5,1.5,10.8
1,2.51,13.0,2.76,16.56
3,1.74,9.5,0.0,10.3
1,1.18,6.5,0.0,7.3
1,3.92,22.5,0.0,23.3
2,4.38,21.5,4.66,27.96
1,0.6,5.0,0.0,5.8
1,5.4,17.5,4.55,22.85
1,1.5,8.5,2.0,11.3
1,3.64,16.0,3.36,20.16
1,1.3,8.0,0.0,8.8
2,0.62,7.5,1.66,9.96
1,1.43,7.5,0.0,8.3
1,0.59,6.5,1.46,8.76
1,0.4,4.0,0.0,5.8
2,0.7,5.5,1.35,8.15
1,1.82,8.5,0.0,10.3
2,1.1,9.5,0.0,10.3
1,1.8,8.5,1.85,11.15
5,0.58,5.5,0.0,7.3
3,0.61,4.5,1.06,6.36
5,4.89,24.5,6.32,31.62
1,1.8,17.0,2.0,19.8
1,0.94,5.0,0.0,5.8
5,2.5,12.5,2.86,17.16
1,1.5,11.0,2.35,14.15
2,1.21,6.5,1.46,8.76
6,0.55,5.5,1.26,7.56
1,2.6,9.5,0.0,10.8
1,1.01,6.5,1.46,8.76
1,6.8,25.5,2.0,28.3
1,37.47,130.0,5.0,135.8
1,6.6,23.5,4.85,29.15
1,2.02,11.5,2.46,14.76
1,10.09,31.0,0.0,37.84
1,0.93,8.0,1.76,10.56
2,1.3,7.5,1.66,9.96
1,3.0,12.5,0.7,14.0
1,1.5,9.0,2.05,12.35
1,3.65,14.0,3.16,18.96
2,1.3,8.0,0.0,8.8
2,2.71,10.5,2.36,14.16
1,2.3,10.5,2.25,13.55
1,0.9,6.0,1.25,9.05
2,4.6,16.5,1.5,18.8
1,1.45,11.0,2.36,14.16
1,3.6,15.0,0.0,15.8
1,2.34,14.0,1.4,16.2
1,1.26,7.5,1.66,9.96
2,3.84,14.5,3.82,19.12
1,2.6,13.0,0.0,13.8
2,0.54,5.0,0.0,6.8
1,2.83,17.5,2.0,21.3
1,4.0,16.0,1.0,18.3
1,3.49,20.5,0.0,21.3
1,0.6,5.5,0.0,7.3
5,1.71,12.0,3.2,16.0
1,0.5,5.0,1.85,8.15
1,1.0,5.5,0.0,6.3
2,0.45,4.0,0.0,5.8
2,0.64,4.5,0.0,5.3
1,1.73,8.5,0.0,9.3
1,1.03,6.0,0.0,7.8
1,2.15,12.5,2.2,15.5
1,1.55,10.0,2.16,12.96
1,5.38,17.0,0.0,17.8
1,1.38,9.0,0.0,9.8
1,0.4,5.0,1.0,6.8
2,1.92,8.0,1.86,11.16
1,1.26,6.5,1.95,9.75
1,8.28,34.0,0.0,35.8
3,0.53,4.0,0.0,4.8
1,4.15,20.0,0.0,21.8
1,1.8,8.5,1.0,10.8
1,1.36,7.5,2.2,11.0
3,0.3,4.0,0.0,5.8
5,8.7,26.5,8.21,41.05
1,1.2,9.0,0.0,9.8
6,0.52,5.5,0.0,7.3
1,1.38,7.5,0.0,8.3
1,1.4,8.5,3.0,12.3
3,0.7,7.5,1.7,10.0
1,0.7,9.5,2.05,12.35
1,0.69,4.5,0.0,5.3
1,1.46,7.5,0.0,8.3
1,12.37,42.5,12.21,61.05
5,1.14,7.5,0.0,8.3
6,0.86,6.5,1.46,8.76
4,1.2,8.0,0.0,9.3
3,4.0,16.5,1.7,20.0
1,2.84,12.0,2.76,16.56
1,1.25,17.0,3.56,21.36
2,1.9,8.0,0.0,8.8
1,2.0,13.5,1.5,15.8
1,1.3,8.5,0.0,9.3
1,3.74,16.5,0.0,17.8
6,3.8,18.5,0.0,19.3
2,1.4,7.0,1.75,10.55
2,1.37,6.0,0.0,7.3
1,14.67,46.5,9.66,57.96
6,2.06,9.0,0.0,9.8
1,2.3,14.0,1.5,17.3
5,0.57,4.5,0.0,5.3
